id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa annularis annularis,not found,NA,Mimosa annularis var. annularis,
83402,Mimosa annularis Spruce ex Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa annularis,,Mimosa annularis,Mimosa annularis,
31061,Mimosa amnis-atri Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa amnis-atri,,Mimosa amnis-atri,Mimosa amnis-atri,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa monadelpha,not found,NA,Mimosa amambayensis,
31060,Mimosa alleniana Morong,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo|Cerrado (lato sensu),Cerrado,Mimosa alleniana,,Mimosa alleniana,Mimosa alleniana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa albolanata paucipinna,not found,NA,Mimosa albolanata var. paucipinna,
31059,Mimosa albolanata var. paucipinna (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa albolanata var. paucipinna,,Mimosa albolanata var. paucipinna,Mimosa albolanata var. paucipinna,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa albolanata grossiceps,not found,NA,Mimosa albolanata var. grossiceps,
31058,Mimosa albolanata var. grossiceps Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa albolanata var. grossiceps,,Mimosa albolanata var. grossiceps,Mimosa albolanata var. grossiceps,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa albolanata brasiliana,not found,NA,Mimosa albolanata var. brasiliana,
31057,Mimosa albolanata var. brasiliana Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa albolanata var. brasiliana,,Mimosa albolanata var. brasiliana,Mimosa albolanata var. brasiliana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa albolanata albolanata,not found,NA,Mimosa albolanata var. albolanata,
31055,Mimosa albolanata Taub.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa albolanata,,Mimosa albolanata,Mimosa albolanata var. albolanata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa albida albida,not found,NA,Mimosa albida var. albida,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa albida,not found,NA,Mimosa albida var. albida,
31054,Mimosa aguapeia Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa aguapeia,,Mimosa aguapeia,Mimosa aguapeia,
126527,Mimosa adpressa Hook. & Arn.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo Limpo,Pampa,Mimosa adpressa,,Mimosa adpressa,Mimosa adpressa,
31053,Mimosa adenotricha Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa adenotricha,,Mimosa adenotricha,Mimosa adenotricha,
18759,Mimosa adenocarpa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado|Mata Atl�ntica,Mimosa adenocarpa,,Mimosa adenocarpa,Mimosa adenocarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa adamantina hebecarpa,not found,NA,Mimosa adamantina var. hebecarpa,
31048,Mimosa adamantina var. hebecarpa Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa adamantina var. hebecarpa,,Mimosa adamantina var. hebecarpa,Mimosa adamantina var. hebecarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa adamantina adamantina,not found,NA,Mimosa adamantina var. adamantina,
31046,Mimosa adamantina Barneby,Fabaceae,species,accepted,EN,Arbusto,NA,Campo rupestre,Cerrado,Mimosa adamantina,,Mimosa adamantina,Mimosa adamantina var. adamantina,
31047,Mimosa adamantina Barneby var. adamantina,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa adamantina var. adamantina,,Mimosa adamantina var. adamantina,Mimosa adamantina var. adamantina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa acutistipula ferrea,not found,NA,Mimosa acutistipula var. ferrea,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa acutistipula acustitipula,not found,NA,Mimosa acutistipula var. acutistipula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa acutistipula acutistipula,not found,NA,Mimosa acutistipula var. acutistipula,
83398,Mimosa acutistipula (Mart.) Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Cerrado (lato sensu),NA,Mimosa acutistipula,,Mimosa acutistipula,Mimosa acutistipula var. acutistipula,
31042,Mimosa acroconica Barneby,Fabaceae,species,accepted,EN,�rvore,Terr�cola,Campo rupestre,Cerrado,Mimosa acroconica,,Mimosa acroconica,Mimosa acroconica,
31041,Mimosa accedens Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa accedens,,Mimosa accedens,Mimosa accedens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa leucocephala,not found,NA,Leucaena leucocephala,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rubiginosa,not found,NA,Inga rubiginosa,
22958,Entada polystachya (L.) DC.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa polystachya,replaced synonym,Entada polystachya,Entada polystachya,
