id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
18784,Mimosa ceratonia var. pseudo-obovata (Taub.) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial)|Restinga,Mata Atl�ntica,Mimosa pseudo-obovata,replaced synonym,Mimosa ceratonia var. pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa ceratonia interior,not found,NA,Mimosa ceratonia var. interior,
78901,Mimosa ceratonia L.,Fabaceae,species,accepted,NA,Arbusto|Liana/vol�vel/trepadeira,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial)|Restinga,Caatinga|Mata Atl�ntica,Mimosa ceratonia,,Mimosa ceratonia,Mimosa ceratonia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa centurionis,not found,NA,Mimosa centurionis,
100944,Mimosa catharinensis Burkart,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Restinga,Mata Atl�ntica,Mimosa catharinensis,,Mimosa catharinensis,Mimosa catharinensis,
83407,Mimosa casta L.,Fabaceae,species,accepted,NA,Liana/vol�vel/trepadeira,Terr�cola,NA,Amaz�nia,Mimosa casta,,Mimosa casta,Mimosa casta,
18781,Mimosa carvalhoi Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Restinga,Mata Atl�ntica,Mimosa carvalhoi,,Mimosa carvalhoi,Mimosa carvalhoi,
18781,Mimosa carvalhoi Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Restinga,Mata Atl�ntica,Mimosa carvalloi,was misspelled,Mimosa carvalhoi,Mimosa carvalhoi,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa carolina,not found,NA,Mimosa carolina,
31096,Mimosa capito Barneby,Fabaceae,species,accepted,NA,�rvore,Terr�cola,Campo rupestre,Cerrado,Mimosa capito,,Mimosa capito,Mimosa capito,
125060,Mimosa candollei R.Grether,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga,Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa candolei,was misspelled,Mimosa candollei,Mimosa candollei,
125060,Mimosa candollei R.Grether,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga,Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa candollei,,Mimosa candollei,Mimosa candollei,
125060,Mimosa candollei R.Grether,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga,Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa quadrivalves,was misspelled|replaced synonym,Mimosa candollei,Mimosa candollei,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa quadrivalvis leptocarpa,not found,NA,Mimosa candollei,
125060,Mimosa candollei R.Grether,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga,Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa quadrivalvis,replaced synonym,Mimosa candollei,Mimosa candollei,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa quadrvalvis l. var. leptocarpa (dc.) barneby,not found,NA,Mimosa candollei,
23085,Mimosa camporum Benth.,Fabaceae,species,accepted,NA,Erva,Terr�cola,�rea Antr�pica,Amaz�nia|Caatinga|Cerrado,Mimosa camporum,,Mimosa camporum,Mimosa camporum,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa campicola planipes,not found,NA,Mimosa campicola var. planipes,
18779,Mimosa campicola var. planipes Barneby,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Campo Limpo|Vegeta��o Sobre Afloramentos Rochosos,Caatinga|Cerrado,Mimosa campicola var. planipes,,Mimosa campicola var. planipes,Mimosa campicola var. planipes,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa campicola campicola,not found,NA,Mimosa campicola var. campicola,
18777,Mimosa campicola Harms,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa campicola,,Mimosa campicola,Mimosa campicola,
31093,Mimosa calodendron Mart. ex Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa calodendron,,Mimosa calodendron,Mimosa calodendron,
